 l	b	Vlsr	...
 19.12  -0.34    63.5  swa+04    1.35   4.86  swa+04   3.4    1.0    rus03   knear  swa+04    4.5    4.5    34.5  -100000   -100000     34.5  -100000   -100000     34.5 
 19.36  -0.02    51.1  swa+04    0.33   4.86  swa+04  -100000    -100000  -100000     kfar   swa+04   12.1    5.0    50.2   11.4    4.7    48.2   12.1   5.0     50.2 
 19.50   0.10    19.9  pbd+03    3.50   2.70  pbd+03   2.0    0.2    rus03  -100000    -100000    -100000   -100000     32.6  -100000   -100000     32.6  -100000   -100000     32.6 
 19.60  -0.90    38.7  swa+04    0.37   4.86  swa+04  -100000    -100000  -100000     kfar   swa+04   12.8    5.6    54.2   12.0    5.3    51.9   12.8   5.5     54.2 
 19.61  -0.13    58.6    ab09    4.20   2.70  pbd+03  -100000    -100000  -100000     kfar     ab09   11.7    4.7   112.4   11.1    4.5   108.5   11.8   4.7    113.0 
 19.61  -0.23    41.0  kjb+03   13.00   2.70  pbd+03  -100000    -100000  -100000     kfar   kjb+03   12.7    5.4   173.1   11.9    5.1   165.8   12.6   5.4    172.2 
 19.68  -0.13    55.0  kjb+03    2.60   2.70  pbd+03  -100000    -100000  -100000     kfar   kjb+03   11.9    4.8    96.9   11.3    4.6    93.6   12.0   4.9     97.4 
 19.70  -0.20    43.4  pbd+03   13.00   2.70  pbd+03  -100000    -100000  -100000     knear    gg76    3.5    5.3    73.3    3.3    5.0    70.5    3.3   5.5     70.5 
 19.88  -0.53    50.9  swa+04    0.26   4.86  swa+04  -100000    -100000  -100000     kfar   swa+04   12.1    5.0    46.4   11.4    4.8    44.6   12.1   5.0     46.4 
 20.08  -0.14    42.2    ab09    1.60   2.70  pbd+03  -100000    -100000  -100000     kfar     ab09   12.6    5.4    85.6   11.9    5.1    82.4   12.6   5.4     85.6 
 20.50   0.20    24.1  pbd+03    2.40   2.70  pbd+03   2.0    0.2    rus03  -100000    -100000    -100000   -100000     28.7  -100000   -100000     28.7  -100000   -100000     28.7 
 20.73  -0.09    56.3    ab09    7.76   4.85     GB6  -100000    -100000  -100000     kfar     ab09   11.8    4.9   141.5   11.2    4.6   136.7   11.9   4.9    142.3 
 21.00   0.10    18.6  pbd+03    1.20   2.70  pbd+03  -100000    -100000  -100000     kfar    pdd04   14.2    6.9    84.3   13.3    6.5    80.7   13.9   6.7     83.1 
 21.14  -0.30    38.5    ab09    0.49   4.85     PMN  -100000    -100000  -100000     kfar     ab09   12.8    5.7    59.5   12.0    5.4    57.0   12.7   5.7     59.2 
 21.44  -0.56    70.2  swa+04    0.34   4.86  swa+04  -100000    -100000  -100000     knear  swa+04    4.7    4.5    27.0    4.3    4.3    25.4    4.4   4.7     25.8 
 21.67  -0.26    70.1    ab09    0.31   4.85     PMN  -100000    -100000  -100000     knear    ab09    4.7    4.5    26.2    4.3    4.3    24.7    4.4   4.7     25.1 
 21.87   0.01    26.9  swa+04    1.18   4.86  swa+04  -100000    -100000  -100000     kfar   swa+04   13.5    6.4    82.6   12.7    6.0    79.3   13.3   6.3     81.8 
 21.90  -0.37    79.5    ab09    3.00   2.70  pbd+03  -100000    -100000  -100000     kfar     ab09   10.7    4.3    94.7   10.2    4.1    91.7   10.9   4.4     95.9 
 22.36   0.06    82.5  swa+04    0.50   4.86  swa+04  -100000    -100000  -100000     knear  swa+04    5.1    4.2    32.4    4.8    4.0    31.1    4.8   4.5     31.1 
 22.76  -0.49    74.8    ab09    2.70   2.70  pbd+03  -100000    -100000  -100000     knear    ab09    4.8    4.5    53.6    4.4    4.3    50.6    4.5   4.7     51.3 
 22.80  -0.30    82.5  pbd+03   52.30   2.70  pbd+03  -100000    -100000  -100000     kfar     gg76   10.5    4.3   242.5   10.0    4.1   234.7   10.7   4.4    245.6 
 22.90  -0.30    71.1  pbd+03    2.40   2.70  pbd+03  -100000    -100000  -100000     kfar    pdd04   11.0    4.6    89.6   10.4    4.4    86.3   11.1   4.7     90.1 
 22.90   0.70    99.0  pbd+03    0.60   2.70  pbd+03  -100000    -100000  -100000     knear   pdd04    5.8    3.9    36.8    5.3    3.7    34.7    5.4   4.1     35.1 
 23.00  -0.40    74.1  pbd+03    4.10   2.70  pbd+03   4.59   0.4   brm+08  -100000    -100000    -100000   -100000     59.0  -100000   -100000     59.0  -100000   -100000     59.0 
 23.00   0.22    97.9    ab09    0.28   4.85     PMN  -100000    -100000  -100000     kfar     ab09    9.9    3.9    41.6    9.4    3.7    40.2   10.1   4.0     42.2 
 23.10   0.60    29.5  pbd+03    2.80   2.70  pbd+03   1.7    0.5    rus03   knear   pdd04    2.4    6.4    27.1  -100000   -100000     27.1  -100000   -100000     27.1 
 23.10  -0.20    89.6  pbd+03    2.10   2.70  pbd+03  -100000    -100000  -100000     kfar     lt08   10.2    4.1    81.4    9.7    3.9    78.7   10.4   4.2     82.5 
 23.10  -0.40    82.7  pbd+03    3.20   2.70  pbd+03  -100000    -100000  -100000     knear    lt08    5.1    4.3    59.0    4.7    4.1    55.9    4.8   4.5     56.7 
 23.24  -0.24    76.1    ab09    1.54   4.86  swa+04  -100000    -100000  -100000     knear    ab09    4.8    4.5    45.3    4.5    4.3    43.4    4.5   4.7     43.4 
 23.27   0.08    78.2    ab09    0.49   4.86  swa+04  -100000    -100000  -100000     knear    ab09    4.9    4.4    31.4    4.6    4.2    30.1    4.6   4.6     30.1 
 23.28   0.30   108.8    ab09    0.20   2.70  pbd+03  -100000    -100000  -100000     knear    ab09    6.2    3.7    26.7    5.7    3.6    25.2    5.7   4.0     25.2 
 23.42  -0.21   103.0    lt08   19.30   2.70  pbd+03   5.88   1.2   brm+08   kfar     lt08    9.6    3.8   117.1  -100000   -100000    117.1  -100000   -100000    117.1 
 23.46  -0.20    99.0    ab09    7.89   4.85     PMN  -100000    -100000  -100000     knear    ab09    5.8    3.9    88.6    5.3    3.8    83.4    5.4   4.2     84.5 
 23.50  -0.00    91.3  pbd+03    9.50   2.70  pbd+03  -100000    -100000  -100000     kfar    pdd04   10.1    4.1   133.8    9.6    3.9   129.3   10.3   4.2    135.6 
 23.61  -0.38    90.1    ab09    1.60   2.70  pbd+03  -100000    -100000  -100000     knear    ab09    5.4    4.2    48.7    5.0    4.0    46.3    5.0   4.4     46.3 
 23.71   0.17   103.8    ab09    2.60   2.70  pbd+03  -100000    -100000  -100000     knear    ab09    6.0    3.8    61.4    5.5    3.7    57.9    5.5   4.1     57.9 
