No	Name	PK		S5GHz	Diam	Ref	Tb	DMi	DTb	Df	D(VSZ)
138	M2-40	024+031 	33.0 	5.5 	3 	77.11 	5.51 	4.98 	5.24 	4.95
139	M4-9	024+051 	42.0 	47.0 	3 	1.34 	3.52 	2.13 	2.83 	2.39
140	M2-46	024-021 	12.0 	5.0 	8 	33.93 	8.56 	7.12 	7.84	11.79
141	Pe1-17	024-031 	6.0 	6.0 	3 	11.78	11.12 	8.32 	9.72 	8.75
142	IC4593	025+401 	92.0 	12.8 	7 	39.69 	3.13 	2.64 	2.89 	 
143	Pe1-15	025-021 	8.0 	4.8 	2 	24.54	10.22 	8.22 	9.22 	 
144	IC1295	025-042 	44.0	109.0 	3 	0.26 	3.02 	1.55 	2.28 	1.83
145	A60	025-111 	11.0 	74.0 	7 	0.14 	5.75 	2.77 	4.26 	 
146	NGC6818	025-171 	300.0 	18.8 	1 	59.99 	1.79 	1.58 	1.68 	1.58
147	Pe2-15	026-012 	9.0 	2.6 	7 	94.10	10.74 	9.87	10.31 	8.47
148	Pe1-19	026-023 	6.0 	4.3 	3 	22.94	11.74 	9.38	10.56 	9.68
149	M2-45	027+001 	154.0 	7.5 	3 	193.51 	2.75 	2.72 	2.73 	2.63
150	M2-43	027+041 	237.0 	1.3 	2	9911.90 	3.04 	4.45 	3.74 	 
151	Pe1-18	027-021 	42.0 	1.2 	3	2061.50 	6.37 	7.97 	7.17 	7.18
152	Vy1-4	027-032 	22.0 	4.0 	2 	97.19 	6.88 	6.35 	6.62 	6.28
153	IC4846	027-091 	43.0 	2.9 	2 	361.38 	5.47 	5.76 	5.61 	5.47
154	M2-44	028+011 	54.0 	8.0 	3 	59.64 	4.22 	3.71 	3.97 	3.72
155	K3-7	028+021 	30.0 	6.3 	2 	53.42 	5.61 	4.88 	5.25 	4.91
156	K3-2	028+051 	31.0 	2.8 	2 	279.47 	6.31 	6.47 	6.39 	6.20
157	Pe1-21	028-031 	30.0 	8.6 	7 	28.67 	5.34 	4.37 	4.85 	 
158	Pe1-20	028-041 	29.4 	6.4 	7 	50.73 	5.65 	4.89 	5.27 	 
159	NGC6751	029-051 	63.0 	21.0 	1 	10.10 	3.39 	2.50 	2.94 	2.64
160	K3-6	030+041 	55.0 	0.7 	2	7099.00 	6.15 	8.70 	7.42 	 
161	K3-3	031+051 	34.0 	11.0 	3 	19.86 	4.87 	3.84 	4.35 	3.98
162	M3-34	031-101 	29.0 	8.0 	3 	32.03 	5.48 	4.53 	5.00 	4.63
163	K3-1	032+071 	5.0 	5.0 	2 	14.14	12.37 	9.42	10.89 	9.87
164	PC19	032+072 	25.3 	2.8 	7 	228.09 	6.87 	6.91 	6.89 	 
165	M1-66	032-021 	59.0 	2.7 	2 	572.03 	4.84 	5.34 	5.09 	5.00
166	K3-18	032-031 	11.0 	0.9 	3 	959.85	11.71	13.57	12.64	12.51
167	NGC6741	033-021 	230.0 	7.8 	1 	267.20 	2.31 	2.36 	2.33 	2.26
168	A55	033-051 	6.0 	48.0 	7 	0.18 	7.95 	3.94 	5.94 	 
169	NGC6772	033-061 	73.0 	90.0 	3 	0.64 	2.52 	1.41 	1.96 	1.62
170	K3-13	034+021 	34.0 	3.7 	2 	175.54 	5.80 	5.68 	5.74 	5.51
171	M1-33	034+041 	60.0 	3.8 	7 	293.68 	4.55 	4.69 	4.62 	 
172	K3-5	034+061 	3.0 	10.0 	3 	2.12	13.70 	8.64	11.17 	9.58
173	NGC6572	034+111		1374.0 	14.6 	1 	455.59 	0.98 	1.06 	1.02 	1.00
174	NGC6778	034-061 	55.0 	16.0 	1 	15.19 	3.74 	2.88 	3.31 	3.00
175	Ap2-1	035-001 	320.4 	32.8 	7 	21.05 	1.59 	1.26 	1.43 	 
176	Sh2-71	036-011 	63.0	114.0 	3 	0.34 	2.58 	1.36 	1.97 	1.59
177	NGC7293	036-571		1292.0	600.0 	1 	0.25 	0.55 	0.28 	0.42 	0.40
178	NGC6790	037-061 	290.0 	1.8 	2	6326.30 	2.65 	3.71 	3.18 	 
179	NGC7009	037-341 	750.0 	26.8 	1 	73.81 	1.15 	1.04 	1.09 	1.03
180	Cn3-1	038+121 	75.0 	4.6 	1 	250.52 	4.02 	4.08 	4.05 	3.92
181	A70	038-251 	12.0 	42.0 	7 	0.48 	6.07 	3.31 	4.69 	 
182	K3-17	039+021 	345.0 	8.0 	3 	381.01 	1.94 	2.05 	1.99 	1.95
183	M2-47	039-021 	45.0 	6.0 	3 	88.35 	4.77 	4.37 	4.57 	4.33
184	A53	040-001 	85.7 	31.0 	7 	6.30 	2.79 	1.97 	2.38 	 
185	K3-30	040-031 	23.0 	3.3 	2 	149.28 	6.97 	6.71 	6.84 	6.55
186	NGC6781	041-021 	347.0	130.0 	3 	1.45 	1.23 	0.75 	0.99 	0.84
