ID   	l		b		Name   	PK	HelioVel(km/s) HelioVelUncert(km/s)
177	009.6555	+14.8132	NGC6309 	9+14 1 	-47.3 	1.6
178	009.6620	+10.5134	A41 	9+10 1 	29.7 	3.6
179	009.6343	-10.6511	M3-33 	9-10 1 	179.3 	2.0
180	009.8943	-04.6344	H1-67 	9- 4 1 	-8.3	10.4
181	009.8755	-07.5576	GJJC1 	  	-32.0	30.0
182	010.0992	+00.7393	NGC6537 	10+ 0 1 	-16.9 	1.9
183	010.4963	+04.5529	M2-17 	10+ 4 1 	-39.0	10.2
184	010.6567	+03.2622	Th4-10 	10+ 3 1 	28.0 	3.0
185	010.7020	+07.4702	Sa2-230 	10+ 7 1 	113.8	14.0
186	010.7705	-06.4768	IC4732 	10- 6 1	-145.8 	0.9
187	010.8006	-06.7076	Pe1-13 	10- 6 2 	-86.6	14.0
188	010.8991	+18.0564	M2-9 	10+18 2 	87.5 	2.6
189	010.8183	-01.8268	NGC6578 	10- 1 1 	4.4 	1.8
190	011.0000	+06.2848	M2-15 	11+ 6 1 	-15.9 	5.5
191	011.0116	+05.8944	NGC6439 	11+ 5 1 	-96.7 	5.9
192	011.0448	-05.1104	M1-47 	11- 5 1 	-67.2	11.2
193	011.1392	+11.5510	M2-13 	11+11 1 	59.1	16.2
194	011.1916	+07.0144	Sa2-237 	  	-86.4	14.5
195	011.1970	-07.9196	SB17 	  	145.0	15.0
196	011.3924	+02.8501	Th4-11 	11+ 2 1 	-62.0	40.0
197	011.3414	-09.4476	H2-48 	11- 9 1 	-5.3	12.7
198	011.4873	-07.3634	SB18 	  	-2.0	15.0
199	011.7899	-00.1022	M1-43 	11- 0 1 	-19.0	40.0
200	011.7437	-00.6499	NGC6567 	11- 0 2 	119.3 	0.7
201	011.7924	-06.6545	M1-55 	11- 6 1 	-22.4 	4.7
202	011.9770	+04.2338	M1-32 	11+ 4 1 	-90.6 	7.6
203	012.2189	+04.9239	PM1-188 	  	41.9 	1.2
204	012.5281	-09.8710	M1-62 	12- 9 1 	45.7	11.1
205	012.6074	-02.7007	M1-45 	12- 2 1 	139.8	20.1
206	013.0095	-04.3164	Pe2-14 	13- 4 1 	88.1	19.1
207	013.1180	+04.1523	M1-33 	13+ 4 1 	-56.8 	6.0
208	013.3195	+32.7353	Sn1 	13+32 1	-125.5	38.5
209	013.4726	-03.9440	M1-48 	13- 3 1 	128.7	13.3
210	013.7226	-10.6156	Y-C2-32 	13-10 1 	34.4	14.0
211	013.8469	-07.9916	PC21 	13- 7 1 	43.2	14.0
212	014.0276	-05.5257	V-V3-5 	14- 5 1 	-45.5 	2.0
213	014.2909	-07.3698	M3-31 	14- 7 1 	-88.3 	2.3
214	014.3533	-05.5356	V-V3-6 	14- 5 2 	-29.0	15.0
215	014.4407	-06.1476	SB19 	  	72.0	15.0
216	014.6216	-04.3797	M1-50 	14- 4 1 	11.5 	8.9
217	014.7508	-11.8852	SaWe4 	  	20.0	15.0
218	014.8911	-08.4851	SB20 	  	-24.0	15.0
219	014.9494	+06.4601	K2-5 	14+ 6 1 	-10.9	15.8
220	015.4908	-04.5927	M1-53 	15- 4 1 	53.6 	3.2
221	015.6281	-03.0134	A44 	15- 3 1 	44.0 	6.0
222	015.9287	+03.3574	M1-39 	15+ 3 1 	99.3	12.3
223	016.0048	+13.5936	A42 	16+13 1 	10.0	15.0
224	016.0656	-04.3901	M1-54 	16- 4 1 	-47.4 	4.2
225	016.0137	-07.6231	SB21 	  	66.0	15.0
226	016.1568	-04.7814	M1-56 	16- 4 2 	-3.8	27.7
227	016.4511	-01.9752	M1-46 	16- 1 1 	29.3 	5.0
228	016.7365	-07.3566	SB22 	  	-10.0	15.0
229	017.3052	-21.9727	A65 	17-21 1 	13.0 	4.0
230	017.5450	-07.4197	SB23 	  	52.0	15.0
231	017.5545	-09.2840	SB24 	  	22.0	15.0
232	017.6167	-10.2416	A51 	17-10 1 	16.8 	9.2
233	017.7222	-02.9557	M1-52 	17- 2 1 	133.1 	5.0
234	017.9088	-04.8317	M3-30 	17- 4 1 	53.5	14.0
235	018.0865	+20.1520	Na1 	18+20 1 	18.4 	9.4
236	018.6299	-02.2382	M3-54 	18- 2 1 	156.2 	6.5
237	018.9051	+04.1707	M3-52 	18+ 4 1 	-14.0 	6.0
238	018.9036	+03.6893	M4-8 	18+ 3 1 	28.3 	4.7
239	019.2334	-02.2457	M4-10 	19- 2 1 	49.6 	4.4
240	019.4058	-05.3427	M1-61 	19- 5 1 	29.9	10.8
241	019.4228	-13.6251	DeHt3 	19-13 1 	-37.2	14.0
242	019.7518	+03.2744	M3-25 	19+ 3 1 	162.8	11.8
243	019.7952	-04.5271	M1-60 	19- 4 1 	93.1 	9.7
244	019.8707	+05.6622	CTS1 	  	86.0	15.0
245	019.9422	+00.9144	M3-53 	19+ 0 1 	20.6	14.0
246	020.7792	-05.9661	Sa1-8 	20- 5 1 	33.6	16.6
247	020.9996	-01.1247	M1-51 	21- 1 1 	-6.7 	8.8
248	021.1698	-05.9825	M1-63 	21- 5 1 	8.5	10.3
249	021.2167	-03.9371	We1-7 	21- 3 1 	-11.0	15.0
250	021.7434	-00.6728	M3-55 	21- 0 2 	9.7	15.0
251	021.8204	-00.4772	M3-28 	21- 0 1 	4.7	15.0
252	022.0710	-03.1854	M1-58 	22- 3 1 	57.2 	9.7
253	022.1810	-02.4085	M1-57 	22- 2 1 	79.9	14.1
254	022.5854	+04.8075	MA2 	22+ 4 1 	24.0	15.0
255	023.0206	+04.3074	MA3 	23+ 4 1 	119.0	15.0
256	023.3314	-07.6017	MaC1-16 	23- 7 1 	54.0	15.0
257	023.9281	-02.3443	M1-59 	23- 2 1 	85.9	14.0
258	024.1220	+03.8853	M2-40 	24+ 3 1 	89.1 	4.7
259	024.2182	+05.9329	M4-9 	24+ 5 1 	-35.9	14.0
260	024.2528	-05.2093	M4-11 	24- 5 1 	42.7	14.0
261	024.3670	-03.3616	Pe1-17 	24- 3 1 	1.0	15.0
262	024.8399	-02.7797	M2-46 	24- 2 1 	66.7	15.0
263	025.0268	-11.6661	A60 	25-11 1 	-10.0	15.0
264	025.3335	+40.8361	IC4593 	25+40 1 	22.0 	0.5
265	025.3284	-04.6805	K4-8 	25- 4 1 	-85.0	15.0
266	025.4206	-04.7161	IC1295 	25- 4 2 	-15.8	14.0
267	025.8603	-17.9118	NGC6818 	25-17 1 	-14.1 	0.7
268	025.9685	-10.9557	Na2 	26-11 1 	97.8	12.0
269	027.3893	-03.4008	A49 	27- 3 1 	28.0	15.0
270	027.4888	-03.5056	Vy1-4 	27- 3 2 	54.8	20.7
271	027.6787	+04.2604	M2-43 	27+ 4 1 	96.4 	4.3
272	027.6472	-09.6415	IC4846 	27- 9 1 	151.0 	2.9
273	028.0387	+10.2677	WeSb3 	28+10 1 	49.0	15.0
274	028.2503	-04.0283	Pe1-20 	28- 4 1 	65.0	15.0
